source_key,source_group,current_import,status
DSC01894,DSC01894|DSC01895,073_DSC01894.webp,aceptada_generada
DSC01896,DSC01896,074_DSC01896.webp,aceptada_generada
DSC01897,DSC01897,075_DSC01897.webp,aceptada_generada
DSC01898,DSC01898,076_DSC01898.webp,aceptada_generada
DSC01899,DSC01899,077_DSC01899.webp,aceptada_generada
DSC01900,DSC01900,078_DSC01900.webp,aceptada_generada
DSC01901,DSC01901|DSC01902,079_DSC01901.webp,aceptada_generada
DSC01903,DSC01903,080_DSC01903.webp,aceptada_generada
DSC01904,DSC01904,081_DSC01904.webp,aceptada_generada
DSC01905,DSC01905,082_DSC01905.webp,aceptada_generada
DSC01906,DSC01906|DSC01907,083_DSC01906.webp,aceptada_generada
DSC01908,DSC01908,084_DSC01908.webp,aceptada_generada
DSC01909,DSC01909,085_DSC01909.webp,aceptada_generada
DSC01910,DSC01910,086_DSC01910.webp,aceptada_generada
DSC01911,DSC01911,087_DSC01911.webp,aceptada_generada
DSC01912,DSC01912,088_DSC01912.webp,aceptada_generada
DSC01913,DSC01913,089_DSC01913.webp,aceptada_generada
DSC01914,DSC01914,090_DSC01914.webp,aceptada_generada
DSC01915,DSC01915,091_DSC01915.webp,aceptada_generada
DSC01916,DSC01916,092_DSC01916.webp,aceptada_generada
DSC01917,DSC01917,093_DSC01917.webp,aceptada_generada
DSC01918,DSC01918,094_DSC01918.webp,aceptada_generada
DSC01919,DSC01919,095_DSC01919.webp,aceptada_generada
DSC01920,DSC01920|DSC01921,096_DSC01920.webp,aceptada_generada
DSC01922,DSC01922,097_DSC01922.webp,aceptada_generada
DSC01923,DSC01923,098_DSC01923.webp,aceptada_generada
DSC01924,DSC01924,099_DSC01924.webp,aceptada_generada
DSC01925,DSC01925,100_DSC01925.webp,aceptada_generada
DSC01926,DSC01926,101_DSC01926.webp,aceptada_generada
DSC01927,DSC01927,102_DSC01927.webp,aceptada_generada
DSC01928,DSC01928|DSC01929,103_DSC01928.webp,aceptada_generada
DSC01930,DSC01930,104_DSC01930.webp,aceptada_generada
DSC01931,DSC01931,001_DSC01931.webp,aceptada
DSC01932,DSC01932,105_DSC01932.webp,aceptada_generada
DSC01934,DSC01933|DSC01934,002_DSC01934.webp,aceptada
DSC01935,DSC01935,003_DSC01935.webp,aceptada
DSC01936,DSC01936,004_DSC01936.webp,aceptada
DSC01937,DSC01937,005_DSC01937.webp,aceptada
DSC01938,DSC01938|DSC01939,006_DSC01938.webp,aceptada
DSC01940,DSC01940,007_DSC01940.webp,aceptada
DSC01941,DSC01941,008_DSC01941.webp,aceptada
DSC01942,DSC01942,009_DSC01942.webp,aceptada
DSC01943,DSC01943,010_DSC01943.webp,aceptada
DSC01944,DSC01944,011_DSC01944.webp,aceptada
DSC01945,DSC01945,012_DSC01945.webp,aceptada
DSC01946,DSC01946,013_DSC01946.webp,aceptada
DSC01947,DSC01947,014_DSC01947.webp,aceptada
DSC01948,DSC01948,015_DSC01948.webp,rechazada_rojo
DSC01949,DSC01949,016_DSC01949.webp,aceptada
DSC01950,DSC01950|DSC01951,017_DSC01950.webp,aceptada
DSC01952,DSC01952,018_DSC01952.webp,aceptada
DSC01953,DSC01953|DSC01954,019_DSC01953.webp,aceptada
DSC01955,DSC01955,020_DSC01955.webp,rechazada_rojo
DSC01956,DSC01956,021_DSC01956.webp,aceptada
DSC01957,DSC01957,022_DSC01957.webp,aceptada
DSC01958,DSC01958,023_DSC01958.webp,aceptada
DSC01959,DSC01959,024_DSC01959.webp,aceptada
DSC01960,DSC01960,025_DSC01960.webp,aceptada
DSC01961,DSC01961,026_DSC01961.webp,aceptada
DSC01962,DSC01962,027_DSC01962.webp,aceptada
DSC01963,DSC01963|DSC01964,028_DSC01963.webp,rechazada_rojo
DSC01965,DSC01965,029_DSC01965.webp,aceptada
DSC01966,DSC01966,030_DSC01966.webp,aceptada
DSC01967,DSC01967,031_DSC01967.webp,aceptada
DSC01968,DSC01968,106_DSC01968.webp,aceptada_generada
DSC01969,DSC01969,032_DSC01969.webp,rechazada_rojo
DSC01970,DSC01970,033_DSC01970.webp,aceptada
DSC01971,DSC01971,034_DSC01971.webp,rechazada_rojo
DSC01972,DSC01972,035_DSC01972.webp,aceptada
DSC01973,DSC01973|DSC01974,036_DSC01973.webp,aceptada
DSC01975,DSC01975,037_DSC01975.webp,aceptada
DSC01976,DSC01976,038_DSC01976.webp,rechazada_rojo
DSC01977,DSC01977,039_DSC01977.webp,rechazada_rojo
DSC01980,DSC01978|DSC01979|DSC01980,040_DSC01980.webp,aceptada
DSC01981,DSC01981,041_DSC01981.webp,aceptada
DSC01982,DSC01982,042_DSC01982.webp,aceptada
DSC01983,DSC01983,043_DSC01983.webp,rechazada_rojo
DSC01984,DSC01984,044_DSC01984.webp,rechazada_rojo
DSC01985,DSC01985,045_DSC01985.webp,aceptada
DSC01986,DSC01986,046_DSC01986.webp,aceptada
DSC01989,DSC01987|DSC01988|DSC01989|DSC01990|DSC01991,047_DSC01989.webp,rechazada_rojo
DSC01992,DSC01992,048_DSC01992.webp,rechazada_rojo
DSC01993,DSC01993,049_DSC01993.webp,rechazada_rojo
DSC01994,DSC01994,050_DSC01994.webp,rechazada_rojo
DSC01995,DSC01995,051_DSC01995.webp,rechazada_rojo
DSC01996,DSC01996,052_DSC01996.webp,rechazada_rojo
DSC01997,DSC01997,053_DSC01997.webp,rechazada_rojo
DSC01998,DSC01998,054_DSC01998.webp,rechazada_rojo
DSC01999,DSC01999,055_DSC01999.webp,rechazada_rojo
DSC02000,DSC02000,056_DSC02000.webp,rechazada_rojo
DSC02001,DSC02001|DSC02002,057_DSC02001.webp,rechazada_rojo
DSC02003,DSC02003,058_DSC02003.webp,rechazada_rojo
DSC02004,DSC02004,059_DSC02004.webp,rechazada_rojo
DSC02005,DSC02005|DSC02006,060_DSC02005.webp,rechazada_rojo
DSC02008,DSC02007|DSC02008,061_DSC02008.webp,rechazada_rojo
DSC02009,DSC02009|DSC02010,062_DSC02009.webp,rechazada_rojo
DSC02011,DSC02011|DSC02012,063_DSC02011.webp,rechazada_rojo
DSC02013,DSC02013|DSC02014,064_DSC02013.webp,rechazada_rojo
DSC02015,DSC02015|DSC02016,065_DSC02015.webp,rechazada_rojo
DSC02017,DSC02017|DSC02018,066_DSC02017.webp,rechazada_rojo
DSC02019,DSC02019|DSC02020,067_DSC02019.webp,rechazada_rojo
DSC02022,DSC02021|DSC02022|DSC02023,068_DSC02022.webp,rechazada_rojo
DSC02024,DSC02024|DSC02025,069_DSC02024.webp,rechazada_rojo
DSC02026,DSC02026|DSC02027,070_DSC02026.webp,rechazada_rojo
DSC02028,DSC02028,071_DSC02028.webp,rechazada_rojo
DSC02029,DSC02029,072_DSC02029.webp,rechazada_rojo 
